ID,longDescription,preRequisite,description,Length,bisPath,csPath,govPath,healthPath,humPath,manuPath,stemPath,socSciPath,visPath,dept,credits,minGrade,level
AR125,CRAFTS DESIGN,No Prerequisite,"Crafts Design is a semester course in which students will explore a variety of craft techniques and materials. The History of Craft and the ways in which Crafts reflect the people and the society who create them is central to the course. 3-D design concepts will be applied. Projects may include but are not limited to jewelry, papermaking, bookmaking, textile design, furniture design, basketry, and loom and non-loom weaving. Materials used may also include glass or tile mosaic, clay, wire, metals, wood, embroidery floss, fabric dyes, yarn, raffia, reed, and found objects.",SM,X,X,X,X,X,X,X,X,X,AR,5,9,1
AR126,ILLUSTRATION AND ANIMATION,"Prerequisite: Drawing, Studio Art I or recommendation of instructor","Illustration and Animation is a semester course in which students explore foundational concepts of 2-D and 3-D visuals using digital tools and the Adobe Creative Suite. Students learn to story-board and develop imagery for creative, expressive, and commercial projects. Students also learn to set images into motion by creating video shorts. Animation techniques are presented and include lighting, camera angles, atmospheric effects, and texture effects. The utilization of a sketchbook and participation in critiques of illustrative and animated works are key components to the course.",SM,X,X,X,X,X,X,X,X,X,AR,5,9,1
AR127,CERAMICS: PROJECTS IN SCULPTURE,Prerequisite: recommendation of instructor,"Ceramics: Projects in Sculpture I is a semester course that provides students the opportunity to continue ceramic studies by choosing a specific topic or technique to develop an individualized, cohesive body of three-dimensional work. Students will maintain a sketchbook/journal of their process and create a final digital portfolio of their work.",SM,,,,,X,X,X,,X,AR,5,10,1
AR128,CERAMICS: ADVANCED PROJECTS IN SCULPTURE,Prerequisite: Ceramics: Projects in Sculpture,Ceramics: Advanced Projects in Sculpture is a semester course that provides students the opportunity to continue ceramic studies by choosing a personal concept for making 3-D work that will culminate in a final portfolio of related works and a written artist statement.,SM,,,,,X,X,X,,X,AR,5,10,1
BU111,INTRODUCTION TO BUSINESS,No prerequisite,"Students will truly be given a glimpse of the Business/Entrepreneurship Pathway during this semester course, exploring Accounting, Marketing, Entrepreneurship, and career opportunities. Students will be introduced to several beginning topics of courses in Accounting, Sports and Entertainment Marketing, and Entrepreneurship.",SM,X,,,,,,,,,BU,5,9,1
BU112,COMPUTING ESSENTIALS,No prerequisite,Computing Essentials focuses on the effective use of applications for use in the workplace or school environments. Instruction will be directed toward industry certification that will build the students’ skill set while equipping the student with skills necessary to pass certification exams.,SM,X,X,,,,,,,,BU,5,9,1
FOI1,FOUNDATIONS OF INNOVATION I,No prerequisite,"Foundations of Innovation I provides opportunities for students to plan for their future by identifying their interests and strengths, interacting with community partners, and investigating the college and career pathways. Students will develop effective habits for navigating high school while program planning and setting goals for high school, college, and career.",SM,,,,,,,,,,,5,9,1
FOI2,FOUNDATIONS OF INNOVATION II,No prerequisite,"Foundations of Innovation II provides opportunities for students to invest in their future by equipping them with the knowledge and skills to manage money effectively in life and the workplace, exploring secondary and post-secondary options, and preparing them for college readiness exams. Students will explore service learning, and employment opportunities while continuing to program plan and set goals for high school, college, and career.",SM,,,,,,,,,,BU,5,10,1
BUWS,WORK STUDY,Prerequisite: Work Study Contract,"The Work Study Program provides students in grades 11 and 12 an opportunity to meet their academic requirements for graduation while gaining valuable work experience. Through this experience, they will build the knowledge, skills and self-confidence to be successful in higher education, in the workplace and in life. Students participating in this program will attend their academic classes daily and be granted an ""early dismissal"" to participate in employment during school hours. Failure to comply with the regulations and expectations of the Work Study/Internship program will result in a grade of ‘F’.",YR,X,X,X,X,X,X,X,X,X,,,10,1
BU113,INTRODUCTION TO INFORMATION TECHNOLOGY,No prerequisite,"Introduction to Information Technology is designed to explore the nature and scope of Information Technology (IT). Students will plan and install a network using wireless technology, develop critical thinking and problem-solving skills using Cisco Packet Tracer, practice verifying and troubleshooting network and Internet connectivity, and recognize and mitigate security threats to a home network. It’s an excellent launching point for students pursuing a wide range of career pathways – from cybersecurity to software development to business and more. A Networking Academy digital badge is available for this course. 
Students will learn these core skills:
Plan and install a home or small business network using wireless technology, then connect it to the Internet.
Develop critical thinking and problem-solving skills using Cisco Packet Tracer.
Practice verifying and troubleshooting network and Internet connectivity.
Recognize and mitigate security threats to a home network.",SM,X,X,,,,,,,,BU,5,9,1
BU211,INFORMATION TECHNOLOGY I,Prerequisite: Introduction to Information Technology,"Information Technology I will introduce content necessary to take the Certified Cisco Network Associate (CCNA) and Certified Cisco CyberOps certification exams. The course will utilize the Cisco Networking Academy's Introduction to Networks, Cybersecurity and Cybersecurity Essentials courses. Introduction to Networks introduces architectures, models, protocols, and networking elements – functions needed to support the operations and priorities of Fortune 500 companies to small innovative retailers. Cybersecurity and Cybersecurity Essentials allow students to begin their study of cybercrime, security principles, technologies, and procedures used to defend networks.",YR,,X,,,,,,,,BU,10,10,1
BU212,INFORMATION TECHNOLOGY II,Prerequisite: Information Technology I,"Information Technology II will continue with the content necessary to take the Certified Cisco Network Associate (CCNA) and Certified Cisco CyberOps certification exams. The course will utilize the Cisco Networking Academy's Switching, Routing & Wireless Essentials and CyberOps Associate courses. The first course focuses on switching technologies and router operations that support small-to-medium business networks, including wireless local area networks (WLAN) and security concepts. The second focuses on security concepts, security monitoring, host-based analysis, network intrusion analysis, and security policies procedures.",YR,,X,,,,,,,,BU,10,11,1
BU114,INTRODUCTION TO COMPUTER SCIENCE,No Prerequisite,"Introduction to Computer Science introduces students to Computer Science through a systematic approach. Students will learn how to create and share the content on their own web pages. After deciding what content they want to share with the world, they will learn how to structure and style pages using HTML and CSS. They will also practice valuable programming skills such as debugging, using resources, and teamwork. Students will then build on their coding experience as they program animations, interactive art, and games. Students will start by creating simple shapes and build up to more sophisticated sprite-based games, using the same programming concepts and the design process computer scientists use daily. Finally, students will explore the role of hardware platforms in computing and how different sensors can provide more effective input and output than the traditional keyboard, mouse, and monitor. They will develop programs that utilize the same hardware inputs and outputs in the smart devices, looking at how a simple rough prototype can lead to a finished product.",SM,X,X,,,,,,,,BU,5,9,1
BU500,ADVANCED PLACEMENT COMPUTER SCIENCE PRINCIPLES,Prerequisite: Algebra 1 and/or Introduction to Computer Science,"AP Computer Science Principles is an introductory college-level computing course that introduces students to the breadth of the field of computer science. Students learn to design and evaluate solutions and to apply computer science to solve problems through the development of algorithms and programs. They incorporate abstraction into programs and use data to discover new knowledge. Students also explain how computing innovations and computing systems—including the internet—work, explore their potential impacts, and contribute to a computing culture that is collaborative and ethical.",YR,X,X,,,,,,,,BU,10,9,3
BU510,ADVANCED PLACEMENT COMPUTER SCIENCE A,Prerequisite: AP Computer Science Principles or Recommendation from Department Chair,"In AP Computer Science A students will be designing programs, developing the algorithms they need, and writing code to implement them. They will also be testing program code, correcting errors, and explaining how program code works. This course prepares students for advanced computer science coursework and its integration into a wide array of STEM-related fields.",YR,X,X,,,,,,,,BU,10,10,3
BU520,HONORS ADVANCED DATA STRUCTURES AND ALGORITHMS,Prerequisite: Successful completion of AP Computer Science A Exam and Recommendation of Instructor,"Exploration of advanced topics in Computer Science, including Advanced Data Structures, Database Administration, Data Science Concepts and Tools, and development of projects for inclusion in the students’ Career Portfolio.",YR,,X,,,,,,,,BU,10,11,3
BU213,ACCOUNTING I (DUAL ENROLLMENT GWYNEDD-MERCY UNIVERSITY),Prerequisite: Strong Math Skills,"Accounting is considered to be the language of business. Therefore, students considering a major in an area of Business Administration (International Business, Marketing, Finance, Accounting, Entrepreneurship, Management, etc.) should enroll in this introductory accounting course. This course is an introduction to basic principles of financial accounting; the effects of business transactions; and the effect on the financial statements. Learn how to prepare basic statements and to engage in decision making essentials in our economic system through analysis of receivables and inventories. 
NOTE: Students in grades eleven and twelve can elect to take this course as a Dual Enrollment opportunity. Please see Gwynedd Mercy University under the Dual Enrollment section.",YR,X,,,,,,,,,BU,10,10,1
BU214,ACCOUNTING II,Prerequisite: Accounting I,"Accounting II expands upon the basic principles learned in Accounting I through Departmental Accounting. Departmental Accounting refers to maintaining accounts for one or more branches or departments of the company, with revenues and expenses of the department recorded and reported separately. This course teaches a deeper coverage of the complexities in the areas of accounting for depreciation, inventory, notes and payroll taxes, in addition to analysis of corporations, shareholder's equity (bonds) and financial statements.",YR,X,,,,,,,,,BU,10,11,1
BU115,SPORTS AND ENTERTAINMENT MARKETING I,No Prerequisite,"Discussions will cover the decision-making process of sports teams and agents, interactions between professional sports and the media, and problems involving the creation and distribution of sports entertainment products. Strategies of planning, organizing and directing a sports franchise will be discussed as well as the major issues facing professional sports teams today. Topics such as contracts, staffing, operations, and marketing will be covered. Also, the skills necessary to be a successful sports manager will be covered. In addition, students will have an opportunity to apply understanding of concepts using a sports and entertainment simulation throughout the semester. The online simulation teaches students the hard business decisions that go into the sports and entertainment events the students enjoy in real life. Students handle promotion, ticket pricing, stadium operations and staffing, sponsors, concessions, concert booking and promotion, and more.",SM,X,,,,,,,,,BU,5,10,1
BU116,SPORTS AND ENTERTAINMENT MARKETING II,Prerequisite: Sports and Entertainment Marketing I,"Sports and Entertainment Marketing II is a project based course where students apply their understanding of marketing, specifically in the context of sports and entertainment. Students will have the opportunity to promote sporting and arts/entertainment events that take place at high school during the course of the semester. Class time will be used to expand students' understanding of marketing while working collaboratively with fellow students to promote the various activities that Abington Senior High School has to offer.",SM,X,,,,,,,,X,BU,5,11,1
BU117,ENTREPRENEURSHIP I,No prerequisite,"Entrepreneurship I is for designers, engineers, ""techies"", writers, and all students interested in excelling in the 21st Century. Students will develop an entrepreneurial mindset- a mindset capable of critical thinking and problem solving in a fast-paced, professional setting. Class participants will learn the stories of successful entrepreneurs as well as hear the tales of some epic business failures! Through field experiences and real-world projects, students will be exposed to different types of innovative entrepreneurial concepts, such as design thinking, rapid prototyping, culture-building, and finance. Students will be coached along as they develop their professional strengths and innovative spirits!",SM,X,,,,,,,,X,BU,5,10,1
BU118,ENTREPRENEURSHIP II,Prerequisite: Entrepreneurship I,"Students in Entrepreneurship II will use Design Thinking to identify a business opportunity and take action! Once students have formulated their business idea, they will conduct market research, secure financial and human resources, establish relationships with vendors, create a strategic promotional and sales plan, and sell, sell, sell! The young entrepreneurs will go through all phases of the startup process before liquidating and generating an “annual” report that will be presented to a public audience. Students will also help organize, manage, and operate our school-based enterprise, Ghost Gear, as well as plan and execute marketing activities for school-based events including athletic competitions and art programs.",SM,X,,,,,,,,,BU,5,11,1
BU121,MONEY AND INVESTING,No prerequisite,"Understanding the various components of an individual's personal finances is helpful for future financial success. Money and Investing presents knowledge and skills for students to make informed decisions and to manage real world financial issues. The entire path that an individual embarks on regarding their financial success is addressed. From career planning, which ends up being an individual's first major financial decision, to short and long term investments, and everything else in between. Money and Investing is designed to equip students with the requisite knowledge to begin making informed financial decisions and provide them with a foundation that will allow them to explore even more complicated financial issues as they arise in their lives.",SM,X,,,,,,,,,BU,5,10,1
EN110,HONORS ENGLISH I,No prerequisite,"This course is designed to present students with the opportunity to practice all of the language arts in a variety of contexts and for a variety of audiences. The course is designed to take a multi-genre approach to literature by exploring novels, short stories, poetry, drama, and non-fiction. Writing instruction will focus on planning, drafting, revising and editing. Particular emphasis will be placed on adhering to academic conventions such as writing well-developed paragraphs, using topic sentences, finding supporting details, and maintaining a unity of ideas. Students will construct and present a polished Essay of Opinion based on research and utilizing the MLA method of documentation to cite sources. Students in this course will be taught effective techniques for speaking in public and the principles of active listening. Finally, emphasis will be placed on various study skills and note-taking methods. While the core curriculum is the same as the English I course, honors classes offer a more rigorous pace, coupled with the expectation for students to be motivated self-starters who can work well independently.",YR,X,X,X,X,X,X,X,X,X,EN,10,9,2
EN111,ENGLISH I,No prerequisite,"This course is designed to present students with the opportunity to practice all of the language arts in a variety of contexts and for a variety of audiences. The course is designed to take a multi-genre approach to literature by exploring novels, short stories, poetry, drama, and non-fiction. Writing instruction will focus on planning, drafting, revising and editing. Particular emphasis will be placed on adhering to academic conventions such as writing well-developed paragraphs, using topic sentences, finding supporting details, and maintaining a unity of ideas. Students will construct and present a polished Essay of Opinion based on research and utilizing the MLA method of documentation to cite sources. Students in this course will be taught effective techniques for speaking in public and the principles of active listening. Finally, emphasis will be placed on various study skills and note-taking methods.",YR,X,X,X,X,X,X,X,X,X,EN,10,9,1
EN120,HONORS ENGLISH II,Prerequisite: English I,"Provides an in-depth study of the great works of American literature with a focus on both nineteenth and twentieth century writers. In composition, the skills of exposition and argumentation are reinforced, and the essays of critical analysis are introduced. The critical reading and vocabulary programs are designed to help students prepare for the SAT. The Keystone Literature exam will be administered to all students at the conclusion of this course.",YR,X,X,X,X,X,X,X,X,X,EN,10,10,2
EN121,ENGLISH II,Prerequisite: English I,"Stresses the skills of literary analysis through a study of selected works primarily in American literature. The focus in composition is on expository and persuasive essays with particular attention given to a variety of organizational techniques. The basics of grammar are reviewed, especially as they relate to the student's writing. A vocabulary program is required, and vocabulary tests are administered as part of the semester examinations with a special emphasis on preparation for the SAT. The Keystone Literature exam will be administered to all students at the conclusion of this course.",YR,X,X,X,X,X,X,X,X,X,EN,10,10,1
EN130,HONORS ENGLISH III,Prerequisite: English II,"Provides an in-depth study of the great works of British and Commonwealth literature with a focus on writers, both classic and contemporary. In composition the skills of critical analysis are developed, and the essay of explication is introduced. The grammar and vocabulary programs are designed to help students prepare for the SAT.",YR,X,X,X,X,X,X,X,X,X,EN,10,11,2
EN131,ENGLISH III,Prerequisite: English II,"Develops the skills of literary analysis through a study of selected works primarily in British and Commonwealth literature, along with an infusion of high-interest readings from American and/or world literature. The focus in composition is on expository and persuasive essays with particular attention given to the essay of critical analysis. The basics of grammar are reviewed, especially as they relate to the student's writing. A vocabulary program is required, and vocabulary tests are administered as part of the semester examination with a special emphasis on preparation for the SAT.",YR,X,X,X,X,X,X,X,X,X,EN,10,11,1
EN500,ADVANCED PLACEMENT ENGLISH LANGUAGE AND COMPOSITION,Prerequisite: English II,"The Advanced Placement English Language and Composition course will run as an elective course open to both 11th and 12th grade students. The course will engage students in becoming skilled prose readers from a variety of rhetorical contexts and time periods, supplemented by the various media available in the library, including newspapers, magazines, comic strips, film, advertisements and photographs. The course will also be writing intensive, asking students to produce expository, analytical, and persuasive compositions which focus on demonstrating mastery of language conventions and developing stylistic maturity. The course will enable students to read complex texts fluently, to write sophisticated prose effectively and to comprehend rhetoric in all its guises, including visual and auditory. Through their reading and writing, the students will learn the intricacies of the interactions between a writer’s purpose, the expectations of an audience, and the subject matter, as well as the way conventions and language contribute to effective writing. The course will also lay the groundwork for the students’ transitions into the Advanced Placement English Literature and Composition course currently offered in the 12th grade curriculum. This course will prepare students to complete the Advanced Placement English Language and Composition examination.",YR,X,X,X,X,X,X,X,X,X,EN,10,11,3
EN141,ENGLISH IV,Prerequisite: English III,"Develop the skills of literary analysis through a study of selected works primarily in world literature. The focus in composition is on explication with particular attention given to the essay of comparison/contrast. The basics of grammar are reviewed, especially as they relate to the student's writing. A vocabulary program is required, and vocabulary tests are administered as part of the semester examination with a special emphasis on preparation for the SAT.",YR,X,X,X,X,X,X,X,X,X,EN,10,12,1
EN510,ADVANCED PLACEMENT ENGLISH LITERATURE AND COMPOSITION,Prerequisite: English III,"Provides an in-depth study of the great works of world literature with a focus on major literary movements. In composition, the intrinsic skills of explication are developed, and the scholarly essay based on elements of comparative literature is introduced. Independent work in language and vocabulary is required. Students are encouraged to take the Advanced Placement exam for college credit.",YR,X,X,X,X,X,X,X,X,X,EN,10,12,3
ENIDS,INTERDISCIPLINARY STUDIES,Prerequisite: Recommended for grade 12. Admission to this course is by application.,"The Interdisciplinary Studies course is a humanities course that provides students with the opportunity to explore the branches of knowledge concerned with understanding humanity and its cultural expressions. It is the integrated study of history, economics, literature, language, philosophy, the visual arts, theatre and music. Content emphasis is placed on the interconnectedness of the history of human societies, change and continuity within those societies, and the concepts and themes that embody human experience. In the Interdisciplinary Studies course, emphasis is placed on critical thinking and creative expression as students engage in highly collaborative learning experiences with a high degree of variety in method of instruction and assessment.",YR,X,X,X,X,X,X,X,X,X,EN,10,12,2
EN201,AFRICAN AMERICAN LITERATURE: RECONSTRUCTION TO THE HARLEM RENAISSANCE,No prerequisite,"This course will focus on the literary canon of African American writers from the Period of Reconstruction through the Harlem Renaissance. Students will explore the history, experiences, theories, and philosophies of African Americans through the literature represented by influential African American writers in each time period. The course will examine the diverse themes found in the oral narratives, poetry, fiction, nonfiction, and drama that comprised each of the historic periods.",SM,X,X,X,X,X,X,X,X,X,EN,5,10,1
EN202,AFRICAN AMERICAN LITERATURE: THE CIVIL RIGHTS MOVEMENT TO THE PRESENT,No prerequisite,"This course will focus on the literary canon of African American writers from the Civil Rights movement to the present. Students will explore the history, experiences, theories, and philosophies of African Americans through the literature represented by influential African American writers in each time period. The course will examine the diverse themes found in the oral narratives, poetry, fiction, nonfiction, and drama that comprised each of the historic periods.",SM,X,X,X,X,X,X,X,X,X,EN,5,10,1
EN203,INTRODUCTION TO ACTING AND THEATER,No prerequisite,"In this course, students will be introduced to basic theater terms, Uta Hagen’s 9 questions, delivery of monologues and dialogues, script writing, costume design, and an overall understanding of the total theater production. Students will primarily learn through participation in small acting assignments along with the creation and production of their own one act play. In general, this class will provide students with an introduction to varied aspects of theater. Students will perform and experience the varied roles within the class period with their peers.",SM,,,X,,X,,,X,X,EN,5,9,1
EN204,ADVANCED ACTING AND THEATER,Prerequisite: Introduction to Acting and Theater,"In this course, students will pursue a more nuanced understanding of the dynamics of acting, directing, and theater logistics. This entirely interactive course will prompt students to conduct in-depth studies and performances of monologues, scenes, and full length plays, both contemporary and classic. Students will explore the more detailed, intensive elements of character development utilizing the methods of Uta Hagen (among other theatre practitioners) and apply their findings to practice. Additional theater elements, such as directing/blocking, light design, costume creation, etc will be explored as they relate to different play/musical genres. The course will culminate with a collaboration with our Creative Writing class, in which full-length plays are developed for the purpose of a final performance in front of peers, faculty, and invited guests.",SM,,,X,,X,,,X,X,EN,5,10,1
EN205,INTRODUCTION TO CINEMA,No prerequisite,"Cinema is an introduction to film analysis, which is an enjoyable, entertaining, and instructive process. Among the areas addressed will be a film's message and how and by whom that message is communicated. This, of course, will lead to larger meanings as students view and discuss a variety of motion pictures. Types of movies, techniques of filmmaking, and the history of cinema will be explored. The primary focus will be on classical films before 1990 and will include silent movies, black and white films, and films with subtitles. Students will be required to be active participants rather than passive spectators.",SM,,,,,X,,X,X,X,EN,5,9,1
EN206,CREATIVE WRITING,No prerequisite,"Provides students with the opportunity to explore the dynamics of the creative process through computer assisted writing. Using computer software in a supportive climate, students will generate documents that reflect their mastery of various writing techniques. Students who are interested in the art of writing and who enjoy exploring their world through the power of the written word should consider taking this course. Creative Writing is a course designed for those who relish taking a creative look at life.",SM,X,,X,,X,,,X,X,EN,5,9,1
EN207,DEBATE,No prerequisite,"Is designed for students who hope to pursue careers in law or communications, or for students who would like to sharpen their skills in research and analysis. Formal debate procedure will be examined, followed by a detailed analysis of the current debate topic. Monthly competition with area schools will add interest and variety to classroom experiences. College bound students looking for opportunities for creative work should consider this elective.",SM,X,X,X,,X,,,X,X,EN,5,9,1
EN208,JOURNALISM,No prerequisite,"Introduces students to news writing and reporting, as well as the analytical skills needed to determine what constitutes ""news"" in the eyes of the media and the general public. Students will learn the roles that the newspaper, Internet, and television mediums have in shaping our culture. Students will learn to develop story ideas, to gather information, to combine visual and verbal messages, and to write and edit news.",SM,X,X,X,,X,,,X,X,EN,5,10,1
EN209,MEDIA LITERACY,No prerequisite,"The Media Literacy course provides students with the skills needed to determine the reliability and validity of the information disseminated daily through the internet, social media apps like Instagram and Snapchat, television, and print media. Using the wealth of technology available, students will analyze media through persuasive strategies of logos, pathos, ethos, as well as bandwagon, circular argument, and other forms of persuasion. After learning how to identify these strategies and their efficacy, students will create their own media projects and use these powerful techniques to persuade their peers. This course will ultimately develop critical thinking skills, enabling students to become more informed, analytical members of society.",SM,X,X,X,X,X,,,X,X,EN,5,9,1
EN211,PUBLIC SPEAKING,No prerequisite,"Is a ""tool"" course that should have social and vocational value for all students. It aims to develop effective oral communication. Correct voice production, pronunciation, and the art of listening are all stressed. Types of speeches and techniques of delivery are studied. Regular appearances before a group develop poise and self-confidence. Students will be required to prepare their assignments through independent research projects.",SM,X,X,X,X,X,X,X,X,X,EN,5,10,1
EN212,VIDEO PRODUCTION I,No prerequisite,"Involves students in the creation, development, and presentation of various media programs, such as the commercial, public service announcement, newscast, mini-documentary, visual story, and short film/video piece. Emphasis is placed upon writing program proposals and content for project work, with a mandatory written component. Students are given the opportunity to work on projects with state-of-the-art digital video equipment in our TV Studio setting, and they will function in a variety of roles: author, actor, crew, and editor. In this course a student's creative ""juices"" must be flowing! A goal will be to produce potential content for both school and community consumption.",SM,X,X,,,X,,X,X,X,EN,5,10,1
